Id;CodColaborador;Data;Hora;
01;1000;02/06/2014;08:01:01;
02;1017;02/06/2014;08:01:12;
03;1176;02/06/2014;08:01:58;
04;0985;02/06/2014;08:02:25;
05;1054;02/06/2014;11:55:50;
06;1000;02/06/2014;11:56:01;
07;1017;02/06/2014;11:58:12;
08;1176;02/06/2014;12:01:51;
09;0985;02/06/2014;12:02:05;
10;1054;02/06/2014;12:05:01;
11;1017;02/06/2014;12:57:02;
12;1176;02/06/2014;13:01:59;
13;0985;02/06/2014;13:02:05;
14;1000;02/06/2014;13:04:01;
15;1054;02/06/2014;13:04:55;
16;0985;02/06/2014;16:55:05;
17;1017;02/06/2014;16:57:52;
18;1176;02/06/2014;17:00:02;
19;1000;02/06/2014;17:04:01;
20;1054;02/06/2014;17:04:58;
21;1000;03/06/2014;07:31:01;
22;1017;03/06/2014;08:01:12;
23;1176;03/06/2014;08:01:58;
24;0985;03/06/2014;08:02:25;
25;1017;03/06/2014;10:58:12;
26;1000;03/06/2014;11:56:01;
27;1176;03/06/2014;12:01:51;
28;0985;03/06/2014;12:02:05;
29;1054;03/06/2014;12:05:01;
30;1017;03/06/2014;12:57:02;
31;1176;03/06/2014;13:01:59;
32;0985;03/06/2014;13:02:05;
33;1000;03/06/2014;13:04:01;
34;0985;03/06/2014;16:50:05;
35;1176;03/06/2014;17:00:02;
36;1000;03/06/2014;17:04:01;
37;1054;03/06/2014;17:04:58;
38;1017;03/06/2014;17:57:52;
