Id;CodColaborador;Data;Hora
1;1000;03/06/2014;03:59:00
2;1011;02/06/2014;07:49:00
3;1013;02/06/2014;07:49:00
4;1003;02/06/2014;07:50:00
5;1012;02/06/2014;07:50:00
6;1002;02/06/2014;07:55:00
7;1026;02/06/2014;07:55:00
8;1005;02/06/2014;07:59:00
9;1000;05/06/2014;07:59:00
10;1000;02/06/2014;08:00:00
11;1005;02/06/2014;08:00:00
12;1009;02/06/2014;08:00:00
13;1010;02/06/2014;08:00:00
14;1014;02/06/2014;08:00:00
15;1019;02/06/2014;08:00:00
16;1020;02/06/2014;08:00:00
17;1021;02/06/2014;08:00:00
18;1000;03/06/2014;08:00:00
19;1022;02/06/2014;08:00:00
20;1023;02/06/2014;08:00:00
21;1018;02/06/2014;08:01:00
22;1007;02/06/2014;08:02:00
23;1001;02/06/2014;08:05:00
24;1024;02/06/2014;08:05:00
25;1025;02/06/2014;08:05:00
26;1004;02/06/2014;08:10:00
27;1016;02/06/2014;08:10:00
28;1006;02/06/2014;08:11:00
29;1015;02/06/2014;08:11:00
30;1017;02/06/2014;08:11:00
31;1000;03/06/2014;09:00:00
32;1022;02/06/2014;10:00:00
33;1023;02/06/2014;10:00:00
34;1022;02/06/2014;11:00:00
35;1023;02/06/2014;11:00:00
36;1002;02/06/2014;11:55:00
37;1025;02/06/2014;11:55:00
38;1000;05/06/2014;11:59:00
39;1000;02/06/2014;12:00:00
40;1003;02/06/2014;12:00:00
41;1004;02/06/2014;12:00:00
42;1005;02/06/2014;12:00:00
43;1009;02/06/2014;12:00:00
44;1010;02/06/2014;12:00:00
45;1011;02/06/2014;12:00:00
46;1012;02/06/2014;12:00:00
47;1013;02/06/2014;12:00:00
48;1014;02/06/2014;12:00:00
49;1015;02/06/2014;12:00:00
50;1016;02/06/2014;12:00:00
51;1017;02/06/2014;12:00:00
52;1018;02/06/2014;12:00:00
53;1020;02/06/2014;12:00:00
54;1000;04/06/2014;12:00:00
55;1024;02/06/2014;12:00:00
56;1019;02/06/2014;12:01:00
57;1021;02/06/2014;12:01:00
58;1001;02/06/2014;12:05:00
59;1026;02/06/2014;12:05:00
60;1002;02/06/2014;12:55:00
61;1006;02/06/2014;12:55:00
62;1026;02/06/2014;12:55:00
63;1020;02/06/2014;12:59:00
64;1021;02/06/2014;12:59:00
65;1000;05/06/2014;12:59:00
66;1000;02/06/2014;13:00:00
67;1003;02/06/2014;13:00:00
68;1004;02/06/2014;13:00:00
69;1005;02/06/2014;13:00:00
70;1009;02/06/2014;13:00:00
71;1010;02/06/2014;13:00:00
72;1011;02/06/2014;13:00:00
73;1012;02/06/2014;13:00:00
74;1013;02/06/2014;13:00:00
75;1014;02/06/2014;13:00:00
76;1015;02/06/2014;13:00:00
77;1016;02/06/2014;13:00:00
78;1017;02/06/2014;13:00:00
79;1018;02/06/2014;13:00:00
80;1019;02/06/2014;13:00:00
81;1000;03/06/2014;13:00:00
82;1024;02/06/2014;13:00:00
83;1008;02/06/2014;13:03:00
84;1001;02/06/2014;13:05:00
85;1025;02/06/2014;13:05:00
86;1009;02/06/2014;14:00:00
87;1009;02/06/2014;15:00:00
88;1014;02/06/2014;16:00:00
89;1000;04/06/2014;16:00:00
90;1024;02/06/2014;16:45:00
91;1016;02/06/2014;16:49:00
92;1017;02/06/2014;16:49:00
93;1004;02/06/2014;16:50:00
94;1015;02/06/2014;16:50:00
95;1002;02/06/2014;16:55:00
96;1025;02/06/2014;16:55:00
97;1007;02/06/2014;16:58:00
98;1000;05/06/2014;16:59:00
99;1000;02/06/2014;17:00:00
100;1005;02/06/2014;17:00:00
101;1018;02/06/2014;17:00:00
102;1019;02/06/2014;17:00:00
103;1020;02/06/2014;17:00:00
104;1021;02/06/2014;17:00:00
105;1000;04/06/2014;17:00:00
106;1023;02/06/2014;17:00:00
107;1006;02/06/2014;17:01:00
108;1022;02/06/2014;17:01:00
109;1001;02/06/2014;17:05:00
110;1026;02/06/2014;17:05:00
111;1003;02/06/2014;17:10:00
112;1011;02/06/2014;17:10:00
113;1023;02/06/2014;17:10:00
114;1012;02/06/2014;17:11:00
115;1013;02/06/2014;17:11:00
116;1009;02/06/2014;18:00:00
117;1010;02/06/2014;18:00:00
118;1023;02/06/2014;20:00:00
119;1000;04/06/2014;21:00:00
