Id;CodColaborador;Data;Hora
1;1011;02/06/2014;07:49:00
2;1013;02/06/2014;07:49:00
3;1003;02/06/2014;07:50:00
4;1012;02/06/2014;07:50:00
5;1002;02/06/2014;07:55:00
6;1026;02/06/2014;07:55:00
7;1005;02/06/2014;07:59:00
8;1000;02/06/2014;08:00:00
9;1009;02/06/2014;08:00:00
10;1005;02/06/2014;08:00:00
11;1010;02/06/2014;08:00:00
12;1014;02/06/2014;08:00:00
13;1018;02/06/2014;08:00:00
14;1020;02/06/2014;08:00:00
15;1023;02/06/2014;08:00:00
16;1007;02/06/2014;08:02:00
17;1001;02/06/2014;08:05:00
18;1004;02/06/2014;08:10:00
19;1016;02/06/2014;08:10:00
20;1006;02/06/2014;08:11:00
21;1015;02/06/2014;08:11:00
22;1017;02/06/2014;08:11:00
23;1020;02/06/2014;10:00:00
24;1023;02/06/2014;10:00:00
25;1020;02/06/2014;11:00:00
26;1023;02/06/2014;11:00:00
27;1002;02/06/2014;11:55:00
28;1000;02/06/2014;12:00:00
29;1009;02/06/2014;12:00:00
30;1003;02/06/2014;12:00:00
31;1004;02/06/2014;12:00:00
32;1005;02/06/2014;12:00:00
33;1010;02/06/2014;12:00:00
34;1011;02/06/2014;12:00:00
35;1012;02/06/2014;12:00:00
36;1013;02/06/2014;12:00:00
37;1014;02/06/2014;12:00:00
38;1015;02/06/2014;12:00:00
39;1016;02/06/2014;12:00:00
40;1017;02/06/2014;12:00:00
41;1018;02/06/2014;12:00:00
42;1001;02/06/2014;12:05:00
43;1026;02/06/2014;12:05:00
44;1002;02/06/2014;12:55:00
45;1006;02/06/2014;12:55:00
46;1026;02/06/2014;12:55:00
47;1000;02/06/2014;13:00:00
48;1009;02/06/2014;13:00:00
49;1003;02/06/2014;13:00:00
50;1004;02/06/2014;13:00:00
51;1005;02/06/2014;13:00:00
52;1010;02/06/2014;13:00:00
53;1011;02/06/2014;13:00:00
54;1012;02/06/2014;13:00:00
55;1013;02/06/2014;13:00:00
56;1014;02/06/2014;13:00:00
57;1015;02/06/2014;13:00:00
58;1016;02/06/2014;13:00:00
59;1017;02/06/2014;13:00:00
60;1018;02/06/2014;13:00:00
61;1008;02/06/2014;13:03:00
62;1001;02/06/2014;13:05:00
63;1014;02/06/2014;16:00:00
64;1016;02/06/2014;16:49:00
65;1017;02/06/2014;16:49:00
66;1004;02/06/2014;16:50:00
67;1015;02/06/2014;16:50:00
68;1002;02/06/2014;16:55:00
69;1007;02/06/2014;16:58:00
70;1000;02/06/2014;17:00:00
71;1009;02/06/2014;17:00:00
72;1005;02/06/2014;17:00:00
73;1018;02/06/2014;17:00:00
74;1023;02/06/2014;17:00:00
75;1006;02/06/2014;17:01:00
76;1020;02/06/2014;17:01:00
77;1001;02/06/2014;17:05:00
78;1026;02/06/2014;17:05:00
79;1003;02/06/2014;17:10:00
80;1011;02/06/2014;17:10:00
81;1023;02/06/2014;17:10:00
82;1012;02/06/2014;17:11:00
83;1013;02/06/2014;17:11:00
84;1010;02/06/2014;18:00:00
85;1023;02/06/2014;20:00:00
86;1018;03/06/2014;03:59:00
87;1018;03/06/2014;08:00:00
88;1018;03/06/2014;09:00:00
89;1018;03/06/2014;13:00:00
90;1019;04/06/2014;12:00:00
91;1019;04/06/2014;16:00:00
92;1019;04/06/2014;17:00:00
93;1019;04/06/2014;21:00:00
94;1019;05/06/2014;07:59:00
95;1019;05/06/2014;11:59:00
96;1019;05/06/2014;12:59:00
97;1019;05/06/2014;16:59:00
